net-height 986-mm
refrigerator-type Top-Freezer-Refrigerator
type Single-Door
coolpad No
toughened-glass No
product-name Sansui-150-L-Direct-Cool-Single-Door-Refrigerator-SH163BBR-HAD-Burgundy-Red-2017-
shelf-material Wire-Shelves,Toughened-Glass
egg-tray Yes
compressor-type Reciprocatory-Compressor
sales-package 1-Refrigerator,1-Manual,1-Key
id 1000
net-width 524-mm
water-dispenser No
net-depth 620-mm
star-rating 3
water-&-ice-dispenser No
weight 27
warranty-summary 1-Year-Warranty-on-unit-&-4-Years-on-Compressor
removable-gasket Yes
built-in-stabilizer No
covered-in-warranty All-Parts-Excluding-Plastic-Parts,Glassware,Bulb-and-Tube-from-the-Date-of-Purchase-Against-Defective-Material-and-Workmanship
power-consumption 206-Kwh/Yhr
capacity 150-L
number-of-doors 1
installation-&-demo This-product-does-not-require-installation.-The-features-of-the-product-are-presented-in-the-user-manual-that-comes-with-it.-Hence,the-manufacturer-does-not-provide-on-site-installation-or-demo-for-the-product.-In-case-of-any-queries-about-the-installation-or-the-features-of-product,kindly-call-us-at-1800-208-9898-or-(080)-49400000-for-assistance.
domain Refrigerator
defrosting-type Direct-Cool
other-convenience-features Wire-Shelves-(With-Blue-Trim),Moulded-Door-Support-(Opaque),Milk-Tray,Ice-Zone
number-of-refrigerator-shelves 2
manufacture-year 2017
